Name,Height (in),Weight (lbs),Years Starter (college),Draft position,HS Stars (247 comp),School Prestige at the time,Support Cast (College),Pass Yards as starter per game,Pass TDs per game,Attempts per game,Cmp%,INTs per game,Passing efficiency rating,Rush Yards per game,Rush TDs per game,40-Yard,Vert (in),Hand Size,Wonderlic/S2 equivalent,Wonderlic/S2 Test taken or confidential,Heisman,Rating
Tom Brady (Michigan),77,211,2,199,0.8900,8.75,8.5,201.91,1.3,26.87,61.5,0.7,135.5,-5.91,0.13,5.28,24.5,9.375,33,1,0,1.00
Drew Brees (Purdue),73,213,3,32,0,2,2.75,314.03,2.38,43.62,62.2,1.18,135.3,26.65,0.41,4.83,32,10.25,28,1,0,0.99
Prime Aaron Rodgers (Cal),73,223,2,24,0,2.5,3.75,218.76,1.72,26.6,63.8,0.52,150.3,13.44,0.32,4.71,34.5,9.375,35,1,0,0.98
Peyton Manning (Tennessee),77,229,3.5,1,.9999,6.75,9.5,266.69,2.12,32.88,62.5,0.79,147.1,-4.31,0.29,4.8,30,10.125,28,1,0,0.98
Patrick Mahomes (Texas Tech),74,225,2.5,10,0.8836,3.75,3,351.63,2.91,42.16,63.5,0.91,152.0,25.63,0.69,4.8,30,9.25,24,1,0,0.97
Lamar Jackson (Louisville),74,205,3,32,0.8819,5.25,2.5,237.97,1.82,28.58,57,0.71,142.9,108.74,1.32,4.34,31.6,9.5,13,1,1,0.94
Prime Russell Wilson (NC State + Wisconsin),71,206,4,75,0.8211,3.75,4,234.4,2.18,29.78,60.9,0.6,147.2,28.42,0.46,4.55,34,10.25,28,1,0,0.93
Josh Allen (Wyoming),77,237,2,7,0,1.5,1.5,200.6,1.76,25.72,56.2,0.84,137.7,29.08,0.48,4.75,33.5,10.125,37,1,0,0.92
Ben Rothelisberger (Miami of Ohio),77,241,3,11,0,3.5,1,284.97,2.21,34.32,65.5,0.89,151.3,6.47,0.18,4.75,30,9.875,25,1,0,0.91
Matt Ryan (Boston College),76,220,2.5,3,.8000,5,5.5,289.13,1.74,41.16,60.5,1.1,128.1,1.97,0.35,4.89,32,9.5,32,1,0,0.91
Joe Burrow (LSU),76,215,2,1,0.9003,9.5,10,305.89,2.71,32.36,68.5,0.39,173.2,27.39,0.43,4.9,33.5,9,34,1,1,0.90
Matthew Stafford (Georgia),75,214,3,1,0.9975,8.75,8.25,220.89,1.46,28.2,57.1,0.94,133.5,6.09,0.17,4.81,30.5,10,38,1,0,0.90
Texans Deshaun Watson (Clemson),75,223,2.5,12,0.9794,7.75,7,290.37,2.57,34.49,67.4,0.91,153.5,55.26,0.74,4.66,32.5,9.75,20,1,0,0.89
Andrew Luck (Stanford),76,235,3,1,.9782,3,7.5,248.16,2.16,28,67,0.58,162.8,25.18,0.18,4.67,36,10,37,1,0,0.87
Carson Palmer (USC),77,230,3,1,.9950,5.25,7.5,261.75,1.72,34.86,59.2,1.11,132.2,-1.94,0.19,4.65,33,9.375,26,1,1,0.86
Drake Maye (UNC),76,225,2,3,0.9724,6.25,7.25,304.96,2.38,36.23,66.7,0.62,153.9,44.12,0.62,4.65,28.5,9.125,29.2,0,0,0.85
Caleb Williams (Oklahoma + USC),73,226,2.5,1,0.9969,8.75,8.25,305.52,2.82,33.3,66.9,0.42,169.3,29.27,0.82,4.57,36.3,9.75,29.2,0,1,0.84
Justin Herbert (Oregon),78,236,3.5,6,0.8614,8.75,8,239.57,2.16,29.39,64,0.52,153.1,12.73,0.3,4.68,35.5,10,39,1,0,0.84
Dak Prescott (Mississippi State),74,238,3,135,0.8597,4.25,2,248.16,1.78,30.81,62.8,0.62,145.5,64.95,1,4.79,32.5,10.875,25,1,0,0.82
Jayden Daniels (ASU + LSU),76,210,5,2,0.9832,6.5,9.5,231.8,1.62,26.15,66.3,0.36,158.4,60.13,0.62,4.4,32,9.375,29.2,0,1,0.80
Brock Purdy (Iowa State),73,220,3.67,262,0.8594,3.75,8.25,258.94,1.72,31.21,67.7,0.7,151.1,25.04,0.4,4.84,27,9.25,31,1,0,0.78
2015-2023 Kirk Cousins (Michigan State),75,205,3,102,0.8111,4,5.5,220.53,1.6,27.13,63.7,0.73,146.1,-2.88,0.03,4.93,28.5,9.875,33,1,0,0.78
Trevor Lawrence (Clemson),78,220,3,1,0.9999,8.75,9,252.45,2.25,28.45,66.6,0.43,164.3,23.58,0.45,4.78,28.3,10,29.2,0,0,0.77
Eli Manning (Ole Miss),77,221,3,1,.9400,4.5,3.25,268.89,2.19,35.95,61.1,0.92,138.9,-3.76,0.14,4.9,30,9.125,39,1,0,0.76
Eagles Carson Wentz (NDSU),77,237,2,2,0,1.25,2,207.04,1.83,24.61,64,0.61,153.5,40.7,0.52,4.77,30.5,10,40,1,0,0.74
Bo Nix (Auburn/Oregon),74,217,5,12,0.9856,9.25,8.75,251.66,1.85,31.74,66.4,0.43,149.6,26.44,0.62,4.71,32,10.125,29.2,0,0,0.71
Jared Goff (Cal),76,217,3,1,0.9154,3.75,3.75,329.73,2.59,42.41,62.3,0.81,144,-3.08,0.03,4.82,27,9,36,1,0,0.68
Jordan Love (Utah State),76,219,2.5,26,0.8211,3.75,2.75,268.75,1.88,35.16,61.2,0.91,137.9,12.59,0.28,4.74,35.5,10.5,27,1,0,0.68
Cj Stroud (Ohio State),75,218,2,2,0.9779,9.75,10,324.92,3.4,33.2,69.3,0.48,182.4,0.28,0,4.5,32.5,10,15,1,0,0.62
Jaxson Dart (USC + Ole Miss),74,223,3.5,25,0.9693,5.75,7.75,266,1.8,29.04,65.2,0.6,158.4,34.24,0.31,4.65,30,9.5,29.2,0,0,0.59
Baker Mayfield (Texas Tech + Oklahoma),48,215,4,1,0.8406,6.25,8.75,304.31,2.73,31.19,68.5,0.63,175.4,8.42,0.44,4.84,29,9.25,25,1,1,0.55
Jalen Hurts (Alabama + Oklahoma),73,223,3,53,0.9262,10,10,202.6,1.67,22.7,65,0.42,162.7,72.26,0.95,4.59,35,9.75,18,1,0,0.52
2010's Andy Dalton (TCU),74,220,4,35,0.8433,6.25,6,206.28,1.42,26.34,61.7,0.6,140.7,8.26,0.44,4.83,29.5,9.5,29,1,0,0.50
2010's Joe Flacco (Delaware),78,245,2,18,0.8333,1,0.25,271,1.58,36.08,63.4,0.58,137.4,2.92,0.35,4.84,28.5,10,27,1,0,0.50
Kyler Murray (Oklahoma),70,207,1,1,0.9854,9.25,9.25,311.5,3,37.07,69,0.5,203.3,71.5,0.86,4.38,32,9.5,20,1,1,0.49
Derek Carr (Fresno State),75,218,3,36,.8952,3,5.25,326.44,2.9,41.44,66.6,0.62,152.9,4.87,0.13,4.69,34.5,9.125,20,1,0,0.47
Cam Ward (Wazzu and Miami),74,219,3,1,0,4.75,4.5,296.87,2.29,37.79,66,0.61,148.8,10.68,0.45,4.87,34,9,29.2,0,0,0.45
Sam Darnold (USC),75,225,2,3,0.9338,8,7.5,301.21,2.38,35.25,64.9,0.92,153.7,13.83,0.29,4.85,26.5,9.375,28,1,0,0.43
Bryce Young (Alabama),70,204,2,1,0.9994,10,9.75,303.7,2.93,34.33,65.9,0.44,165.7,6.85,0.26,4.65,32,9.75,39,1,1,0.41
Daniel Jones (Duke),77,230,3,6,0.79,3.75,3,227.81,1.44,35.42,59.9,0.81,122.9,36.75,0.47,4.81,33.5,9.75,37,1,0,0.38
